"Table with row headers in column A, and column headers in rows 5 through 6.",,,,,,,,,
STATE,Age,Total population,Total citizen population,Total registered,"Percent registered
(Total)","Percent registered
(Citizen)",Total voted,"Percent voted
(Total)","Percent voted
(Citizen)"
MASSACHUSETTS,18 to 24,562,469,303,54.0,64.7,259,46.1,55.2
MASSACHUSETTS,25 to 34,"1,142",939,647,56.7,68.9,566,49.6,60.3
MASSACHUSETTS,35 to 44,830,696,492,59.2,70.6,433,52.2,62.2
MASSACHUSETTS,45 to 64,"1,845","1,713","1,247",67.6,72.8,"1,171",63.4,68.3
MASSACHUSETTS,65+,"1,135","1,081",857,75.5,79.2,820,72.2,75.8
MICHIGAN,Total,"7,790","7,467","5,513",70.8,73.8,"4,994",64.1,66.9
MICHIGAN,18 to 24,932,887,546,58.5,61.5,469,50.3,52.9
MICHIGAN,25 to 34,"1,344","1,257",910,67.8,72.4,777,57.8,61.8
MICHIGAN,35 to 44,"1,130","1,063",764,67.6,71.8,666,58.9,62.6
MICHIGAN,45 to 64,"2,663","2,547","1,969",74.0,77.3,"1,798",67.5,70.6
MICHIGAN,65+,"1,721","1,713","1,324",76.9,77.3,"1,284",74.6,75.0
MINNESOTA,Total,"4,339","4,142","3,436",79.2,82.9,"3,225",74.3,77.9
MINNESOTA,18 to 24,440,430,317,72.0,73.8,297,67.5,69.2
MINNESOTA,25 to 34,787,772,595,75.6,77.1,541,68.7,70.0
MINNESOTA,35 to 44,771,672,539,69.9,80.2,503,65.3,74.9
MINNESOTA,45 to 64,"1,431","1,379","1,199",83.8,86.9,"1,134",79.2,82.2
MINNESOTA,65+,909,889,785,86.4,88.4,749,82.5,84.3
MISSISSIPPI,Total,"2,212","2,177","1,749",79.1,80.4,"1,531",69.2,70.3
MISSISSIPPI,18 to 24,249,249,154,61.9,61.9,105,42.3,42.3
MISSISSIPPI,25 to 34,376,365,288,76.5,78.8,250,66.3,68.3
MISSISSIPPI,35 to 44,366,354,288,78.8,81.3,249,68.2,70.4
